BranchNum,FID,kv_from,kv_to,tap,Lat1,Lat2,Lon1,Lon2,Length
5142,5321,66,66,0,36.21067393,36.1458494,-119.0933007,-119.0579166,6.371902011
5143,5322,66,66,0,36.38670269,36.39613475,-119.0263491,-119.0179984,1.148916951
5144,5323,66,66,0,36.39613475,36.41545452,-119.0179984,-119.0077184,1.635428955
5145,5324,66,66,0,36.41546945,36.41285671,-119.0076964,-119.0048144,0.262942334
5146,5325,66,66,0,36.48605611,36.46509547,-118.8354401,-118.8619812,2.30212208
5147,5326,66,66,0,36.46509547,36.45656852,-118.8619812,-118.8765637,1.00482266
5148,5327,66,66,0,36.45656852,36.45349114,-118.8765637,-118.8879352,0.677046187
5149,5328,66,66,0,36.45349114,36.39613475,-118.8879352,-119.0179984,11.31727062
5150,5329,66,66,0,36.13440833,36.13581528,-118.788593,-118.78903,0.137891516
5151,5330,66,66,0,36.13582592,36.12490099,-118.7890384,-118.8174755,2.033133219
5152,5331,66,66,0,36.12490099,36.1258182,-118.8174755,-118.8210092,0.210982023
5153,5332,66,66,0,36.1258182,36.12653529,-118.8210092,-118.8215189,0.073127954
5154,5333,66,66,0,36.13581528,36.12934657,-118.78903,-118.821156,2.424984819
5155,5334,66,66,0,36.12653529,36.12934657,-118.8215189,-118.821156,0.205053036
5156,5335,66,66,0,36.10795523,36.1258182,-118.9380761,-118.8210092,7.868703597
5157,5336,66,66,0,36.10795523,36.12490099,-118.9380761,-118.8174755,7.795529277
5158,5337,66,66,0,36.10795523,36.10911757,-118.9380761,-118.9556757,1.280013328
5159,5338,66,66,0,36.10911757,36.10795523,-118.9556757,-118.9380761,3.040005835
5160,5339,66,66,0,36.10911757,36.1458494,-118.9556757,-119.0579166,8.23754401
5161,5340,66,66,0,36.10795523,36.14586622,-118.9380761,-119.0579378,11.12780995
5162,5341,66,66,0,36.10795523,36.08385176,-118.9380761,-119.0263167,6.128354008
5163,5342,66,66,0,36.08385176,36.08035011,-119.0263167,-119.035119,0.73211749
5164,5343,66,66,0,36.08031013,36.08385176,-119.04376,-119.0263167,1.239130031
5165,5344,66,66,0,36.08035011,36.08031013,-119.035119,-119.04376,0.483731814
5166,5345,66,66,0,36.08035011,36.0677318,-119.035119,-119.0353293,0.870124836
5167,5346,66,66,0,36.0677318,36.06757709,-119.0353293,-119.0350496,0.024228414
5168,5347,66,66,0,36.06757709,36.06738391,-119.0350496,-119.0347003,0.030256025
5169,5348,66,66,0,36.06757709,35.99419868,-119.0350496,-119.0177913,6.063286464
5170,5349,66,66,0,35.99419868,35.96392382,-119.0177913,-119.0184794,2.09678559
5171,5350,66,66,0,36.24026102,36.24009003,-119.474751,-119.3499522,6.970976013
5172,5351,66,66,0,36.22210407,36.21367817,-119.3308112,-119.3308403,0.622827629
5173,5352,66,66,0,36.24009003,36.22210582,-119.3499522,-119.3331828,2.12545086
5174,5353,66,66,0,36.22210582,36.22210407,-119.3331828,-119.3308112,0.13255336
5175,5354,66,66,0,36.21367817,36.21327537,-119.3308403,-119.3305884,0.039901257
5176,5355,66,66,0,36.21367817,36.22210582,-119.3308403,-119.3331828,0.608333904
5177,5356,66,66,0,36.24009003,36.28541311,-119.3499522,-119.278724,7.120374011
5178,5357,66,66,0,36.28307791,36.22210407,-119.3321574,-119.3308112,4.261850193
5179,5358,66,66,0,36.12372303,36.23992011,-119.3945165,-119.4755358,12.61332155
5180,5359,66,66,0,36.28368636,36.21096917,-119.2473257,-119.2424844,5.255559454
5181,5360,66,66,0,36.21092734,36.21059691,-119.215344,-119.0961293,6.661706208
5182,5361,66,66,0,36.21096917,36.21092734,-119.2424844,-119.215344,1.516762522
5183,5362,66,66,0,36.21096917,36.21161417,-119.2424844,-119.3132797,3.957851701
5184,5363,66,66,0,36.21161417,36.21327537,-119.3132797,-119.3305884,1.089320478
5185,5364,66,66,0,36.21161417,36.18537197,-119.3132797,-119.3153596,1.838347075
5186,5365,66,66,0,36.18537197,36.18544198,-119.3153596,-119.3341851,1.351385727
5187,5366,66,66,0,36.18537197,36.12343127,-119.3153596,-119.3040339,4.547813507
5188,5367,66,66,0,36.12343127,36.06587837,-119.3040339,-119.3040374,3.968440932
5189,5368,66,66,0,36.06587837,36.05188566,-119.3040374,-119.304212,0.968515875
5190,5369,66,66,0,36.05188566,36.06577564,-119.304212,-119.3038669,0.970302081
5191,5370,66,66,0,36.06577564,36.06587837,-119.3038669,-119.3040374,0.015202469
5192,5371,66,66,0,36.06577564,36.08055251,-119.3038669,-119.1791492,8.00315994
5193,5372,66,66,0,36.12372303,36.12351662,-119.3945165,-119.328567,3.730790379
5194,5373,66,66,0,36.12351662,36.13140321,-119.328567,-119.3292217,0.591916529
5195,5374,66,66,0,36.12351662,36.12343127,-119.328567,-119.3040339,1.372650566
5196,5375,66,66,0,36.05188566,36.05122998,-119.304212,-119.3038407,0.06377667
5197,5376,66,66,0,36.05122998,36.06584211,-119.3038407,-119.1789176,8.001660255
5198,5377,66,66,0,36.06584211,36.08055251,-119.1789176,-119.1791492,1.020569934
5199,5378,66,66,0,36.08055251,36.08028135,-119.1791492,-119.1787541,0.037048801
5200,5379,66,66,0,36.08028135,35.99328909,-119.1787541,-119.1788866,6.002570399
5201,5380,66,66,0,36.0677318,36.06774274,-119.0353293,-119.0372626,0.108254301
5202,5381,66,66,0,36.06774274,36.06584211,-119.0372626,-119.1789176,8.067575099
5203,5382,66,66,0,36.06774274,36.08031013,-119.0372626,-119.04376,1.502146452
5204,5383,66,66,0,36.08028135,36.08031013,-119.1787541,-119.04376,7.556046214
5205,5384,66,66,0,36.16691637,36.21092734,-119.2066106,-119.215344,3.48570192
5206,5385,66,66,0,36.16691637,36.08055251,-119.2066106,-119.1791492,7.502594492
5207,5386,66,66,0,36.05122998,36.00090472,-119.3038407,-119.3040106,3.688246957
5208,5387,66,66,0,36.00090472,36.00089628,-119.3040106,-119.3031882,0.058846124
5209,5388,66,66,0,36.00090472,35.96472109,-119.3040106,-119.3033568,2.529002435
5210,5389,66,66,0,35.89224237,35.89208595,-119.2507891,-119.2502967,0.03789427
5211,5390,66,66,0,35.89208595,35.96472109,-119.2502967,-119.3033568,8.015239204
5212,5391,66,66,0,35.99376951,35.99328909,-119.1440996,-119.1788866,1.955718257
5213,5392,66,66,0,35.86314651,35.84173106,-119.1437596,-119.0850521,4.794312838
5214,5393,66,66,0,35.99328909,35.86314651,-119.1788866,-119.1437596,10.96041554
5215,5394,66,66,0,35.89208595,35.89184997,-119.2502967,-119.2503083,0.020886536
5216,5395,66,66,0,35.89184997,35.89197458,-119.2503083,-119.1438042,5.98109453
